BLOCK        1     2     3     4     5
DURAT(%)  2.42 29.17  37.5    25  5.91
**** Load  :    1 COLOMBIA     Sgmnt:    1             Demanda
A~no Blk ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12 ...13 ...14 ...15 ...16 ...17 ...18 ...19 ...20 ...21 ...22 ...23 ...24 ...25 ...26 ...27 ...28 ...29 ...30 ...31 ...32 ...33 ...34 ...35 ...36 ...37 ...38 ...39 ...40 ...41 ...42 ...43 ...44 ...45 ...46 ...47 ...48 ...49 ...50 ...51 ...52
2019   1                                                                                                                                                                                                       40.03 40.03 40.03 40.03 40.03 40.03 40.22 40.22 40.22 40.22 40.22 40.22 40.22 40.22 40.22 40.26 40.26 40.26 39.05
2019   2                                                                                                                                                                                                      416.57422.02423.98423.98423.98423.98421.82419.92416.27421.42421.65 418.9420.43425.63426.44 433.3431.96426.71391.39
2019   3                                                                                                                                                                                                      477.14484.14486.66486.66486.66486.66483.62481.17476.49483.11 483.4479.87481.82488.51489.56498.33 496.6489.85446.09
2019   4                                                                                                                                                                                                      249.32253.99255.66255.66255.66255.66253.33 251.7248.58252.99253.19250.83252.14256.59257.29263.08261.93257.43230.18
2019   5                                                                                                                                                                                                       53.73 54.84 55.23 55.23 55.23 55.23 54.66 54.27 53.53 54.58 54.62 54.07 54.37 55.43 55.59 56.96 56.69 55.62 49.33
2020   1 38.05 38.64 38.64 40.26 40.26 40.09 40.09 40.09 40.09 40.24 40.24 40.24 40.24 40.26 40.26 40.26 40.26 40.26 40.48 40.48 40.48 40.48 40.48 40.48 40.48 40.48 40.68 40.68 40.68 40.68 40.68 40.81 40.81 40.81 40.81 40.84 40.84 40.84 40.84 41.06 41.06 41.06 41.06 41.06 41.07 41.07 41.07 41.07 41.12 41.12 41.12 38.78
2020   2377.66398.53403.48 427.2 426.9 425.9 425.9 425.9 425.5   423   423421.48417.83 431.8388.97435.38435.38424.39430.32430.32428.78425.06432.94431.39 426.1 426.1424.27428.09426.57425.19429.42427.13431.58427.84433.13435.82436.27436.27436.27436.03434.12430.35435.67434.66434.58438.38434.58439.95449.15444.82445.22401.84
2020   3429.79455.81462.18490.48490.09489.03489.03489.03488.53485.11485.11483.16478.46496.39441.34500.99500.99486.86494.19494.19492.22487.43497.57495.58488.78488.78486.14491.06 489.1487.33492.76489.66495.38490.57497.37500.79501.36501.36501.36500.76 498.3493.46 500.3498.99498.88503.76498.88505.78517.54511.97512.48459.89
2020   4 220.9237.31241.56257.84257.58257.15257.15257.15256.81 254.3 254.3   253249.87261.78225.08264.85264.85255.43259.97259.97258.66255.47262.22 260.9256.36256.36254.28257.56256.25255.07 258.7256.44260.25257.04261.58263.79264.17264.17264.17263.43261.79258.57263.12262.25262.17265.42262.17266.77274.51 270.8271.14239.82
2020   5 47.25 51.06 52.06 55.72 55.66 55.58 55.58 55.58  55.5 54.88 54.88 54.58 53.84 56.65 47.97 57.37 57.37 55.15  56.2  56.2 55.88 55.13 56.73 56.41 55.34 55.34 54.83  55.6 55.29 55.01 55.87 55.32 56.22 55.46 56.54 57.06 57.15 57.15 57.15 56.94 56.56 55.79 56.87 56.67 56.64 57.41 56.64 57.73 59.56 58.68 58.76 51.64
2021   1 38.78 39.64 39.64  41.3  41.3 41.07 41.07 41.07 41.07 41.31 41.31 41.31 41.31 41.31 41.31 41.31 41.31 41.31 41.55 41.55 41.55 41.55 41.56 41.56 41.56 41.56 41.72 41.72 41.72 41.72 41.72 41.88 41.88 41.88 41.88 41.91 41.91 41.91 41.91 42.11 42.11 42.11 42.11 42.11 42.16 42.16 42.16 42.16 42.23 42.23 42.23 40.96
2021   2391.87416.64414.38443.93443.93449.87449.87449.87449.87441.47441.47439.89436.08397.49447.85447.85447.85 440.4444.86443.27439.43444.86444.56439.34440.93446.37442.14436.15441.53437.03442.44445.05447.14443.27448.74449.79 450.2 450.2 450.2 450.2449.92448.31444.43448.31448.97452.89448.97454.51 464.2461.65459.38 421.6
2021   3447.07477.75474.84510.59510.59518.53518.53518.53518.53 507.4 507.4505.38500.48450.86 515.6 515.6 515.6506.03511.45509.41504.47511.45511.05504.33506.38513.38507.71500.01506.93501.14508.09511.23513.92508.95515.98517.29517.82517.82517.82517.56517.18515.12510.14515.12 515.9520.94 515.9523.02535.39532.11529.19482.33
2021   4231.27250.35248.41269.59269.59275.26275.26275.26275.26267.45267.45 266.1262.84229.76272.92272.92272.92266.54269.78268.42265.13269.78 269.5265.02266.38271.05   267261.87266.48262.63267.26 269.1270.89267.58272.26273.08273.44273.44273.44272.95 272.7271.33268.01271.33271.77275.13271.77276.52284.65282.46280.52 251.3
2021   5 49.62 54.02 53.56 58.37 58.37 59.74 59.74 59.74 59.74 57.86 57.86 57.54 56.77 48.95 59.16 59.16 59.16 57.65 58.39 58.06 57.29 58.39 58.32 57.26 57.58 58.68 57.71 56.49 57.58 56.67 57.77 58.18 58.61 57.82 58.93 59.12 59.21 59.21 59.21 59.07 59.01 58.68  57.9 58.68 58.78 59.58 58.78 59.91 61.82  61.3 60.84 54.09
2022   1 40.96 40.72 40.72 42.42 42.42 42.42 42.18 42.18 42.18  42.4  42.4  42.4  42.4  42.4  42.4  42.4  42.4  42.4 42.64 42.64 42.64 42.64 42.65 42.65 42.65 42.65  42.8  42.8  42.8  42.8  42.8 42.99 42.99                                                                                                                  
2022   2416.07429.29426.97457.34457.34463.11463.83463.83463.83454.94453.41451.79447.89457.39462.97413.82462.97460.82457.31457.31457.31455.68453.61459.93458.29452.69 450.9449.82455.36450.36455.36463.22459.97                                                                                                                  
2022   3475.23492.56489.57526.32526.32533.73534.97534.97534.97523.25521.28 519.2514.18 526.4533.58470.39533.58530.81525.97525.97525.97523.88 521.2529.32527.21520.02517.51516.13523.25516.83523.25 533.1528.92                                                                                                                  
2022   4246.56 258.5256.51 278.3 278.3283.24284.45284.45284.45276.28274.97273.58270.24278.38283.17241.05283.17281.33277.71277.71277.71276.32274.51279.93278.52273.72271.83270.91275.65271.37275.65281.91279.12                                                                                                                  
2022   5 52.97 55.82 55.35 60.29 60.29 61.46 61.78 61.78 61.78 59.82 59.51 59.18 58.39 60.32 61.45 51.49 61.45 61.01 60.13 60.13 60.13  59.8 59.37 60.65 60.32 59.18 58.72  58.5 59.62 58.61 59.62 61.08 60.42                                                                                                                  
**** Load  :  501 Ind-COLOMBIA Sgmnt:    1             Demanda
A~no Blk ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12 ...13 ...14 ...15 ...16 ...17 ...18 ...19 ...20 ...21 ...22 ...23 ...24 ...25 ...26 ...27 ...28 ...29 ...30 ...31 ...32 ...33 ...34 ...35 ...36 ...37 ...38 ...39 ...40 ...41 ...42 ...43 ...44 ...45 ...46 ...47 ...48 ...49 ...50 ...51 ...52
2016   1  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14  3.14
