BLOCK        1     2     3     4     5
DURAT(%)  2.42 29.17  37.5    25  5.91
**** Load  :    2 ECUADOR      Sgmnt:    1             Demanda
A~no Blk ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12 ...13 ...14 ...15 ...16 ...17 ...18 ...19 ...20 ...21 ...22 ...23 ...24 ...25 ...26 ...27 ...28 ...29 ...30 ...31 ...32 ...33 ...34 ...35 ...36 ...37 ...38 ...39 ...40 ...41 ...42 ...43 ...44 ...45 ...46 ...47 ...48 ...49 ...50 ...51 ...52
2017   1  1.37  1.37  1.37  1.37  1.37  1.23  1.23  1.23  1.23   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2  0.48  0.48  0.48  0.48  0.89  0.89  0.89  0.89  0.93  0.93  0.93  0.93  0.89  0.89  0.89  0.89  0.89   0.2   0.2   0.2   0.2
2017   2  9.93  9.93  9.93  9.93  9.93  9.79  9.79  9.79  9.79   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   3.8   3.8   3.8   3.8  8.06  8.06  8.06  8.06   7.4   7.4   7.4   7.4  8.06  8.06  8.06  8.06  8.06   1.6   1.6   1.6   1.6
2017   3 12.87 12.87 12.87 12.87 12.87 12.73 12.73 12.73 12.73  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  4.94  4.94  4.94  4.94 10.52 10.52 10.52 10.52  9.62  9.62  9.62  9.62 10.52 10.52 10.52 10.52 10.52  2.08  2.08  2.08  2.08
2017   4  8.72  8.72  8.72  8.72  8.72  8.58  8.58  8.58  8.58   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4  3.33  3.33  3.33  3.33  7.04  7.04  7.04  7.04  6.48  6.48  6.48  6.48  7.04  7.04  7.04  7.04  7.04   1.4   1.4   1.4   1.4
2017   5   2.1   2.1   2.1   2.1   2.1  1.96  1.96  1.96  1.96  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.76  0.76  0.76  0.76   1.5   1.5   1.5   1.5  1.48  1.48  1.48  1.48   1.5   1.5   1.5   1.5   1.5  0.32  0.32  0.32  0.32
2018   1  1.37  1.37  1.37  1.37  1.37  1.23  1.23  1.23  1.23   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2  0.48  0.48  0.48  0.48  0.89  0.89  0.89  0.89  0.93  0.93  0.93  0.93  0.89  0.89  0.89  0.89  0.89   0.2   0.2   0.2   0.2
2018   2  9.93  9.93  9.93  9.93  9.93  9.79  9.79  9.79  9.79   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   3.8   3.8   3.8   3.8  8.06  8.06  8.06  8.06   7.4   7.4   7.4   7.4  8.06  8.06  8.06  8.06  8.06   1.6   1.6   1.6   1.6
2018   3 12.87 12.87 12.87 12.87 12.87 12.73 12.73 12.73 12.73  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  4.94  4.94  4.94  4.94 10.52 10.52 10.52 10.52  9.62  9.62  9.62  9.62 10.52 10.52 10.52 10.52 10.52  2.08  2.08  2.08  2.08
2018   4  8.72  8.72  8.72  8.72  8.72  8.58  8.58  8.58  8.58   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4  3.33  3.33  3.33  3.33  7.04  7.04  7.04  7.04  6.48  6.48  6.48  6.48  7.04  7.04  7.04  7.04  7.04   1.4   1.4   1.4   1.4
2018   5   2.1   2.1   2.1   2.1   2.1  1.96  1.96  1.96  1.96  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.76  0.76  0.76  0.76   1.5   1.5   1.5   1.5  1.48  1.48  1.48  1.48   1.5   1.5   1.5   1.5   1.5  0.32  0.32  0.32  0.32
2019   1  1.37  1.37  1.37  1.37  1.37  1.23  1.23  1.23  1.23   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2   0.2  0.48  0.48  0.48  0.48  0.89  0.89  0.89  0.89  0.93  0.93  0.93  0.93  0.89  0.89  0.89  0.89  0.89   0.2   0.2   0.2   0.2
2019   2  9.93  9.93  9.93  9.93  9.93  9.79  9.79  9.79  9.79   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   1.6   3.8   3.8   3.8   3.8  8.06  8.06  8.06  8.06   7.4   7.4   7.4   7.4  8.06  8.06  8.06  8.06  8.06   1.6   1.6   1.6   1.6
2019   3 12.87 12.87 12.87 12.87 12.87 12.73 12.73 12.73 12.73  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  2.08  4.94  4.94  4.94  4.94 10.52 10.52 10.52 10.52  9.62  9.62  9.62  9.62 10.52 10.52 10.52 10.52 10.52  2.08  2.08  2.08  2.08
2019   4  8.72  8.72  8.72  8.72  8.72  8.58  8.58  8.58  8.58   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4   1.4  3.33  3.33  3.33  3.33  7.04  7.04  7.04  7.04  6.48  6.48  6.48  6.48  7.04  7.04  7.04  7.04  7.04   1.4   1.4   1.4   1.4
2019   5   2.1   2.1   2.1   2.1   2.1  1.96  1.96  1.96  1.96  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.32  0.76  0.76  0.76  0.76   1.5   1.5   1.5   1.5  1.48  1.48  1.48  1.48   1.5   1.5   1.5   1.5   1.5  0.32  0.32  0.32  0.32
2020   1  1.37  1.37  1.37  1.37  1.37  1.23  1.23  1.23  1.23   0.2   0.2   0.2                                                                                                                                                                                                                                                
2020   2  9.93  9.93  9.93  9.93  9.93  9.79  9.79  9.79  9.79   1.6   1.6   1.6                                                                                                                                                                                                                                                
2020   3 12.87 12.87 12.87 12.87 12.87 12.73 12.73 12.73 12.73  2.08  2.08  2.08                                                                                                                                                                                                                                                
2020   4  8.72  8.72  8.72  8.72  8.72  8.58  8.58  8.58  8.58   1.4   1.4   1.4                                                                                                                                                                                                                                                
2020   5   2.1   2.1   2.1   2.1   2.1  1.96  1.96  1.96  1.96  0.32  0.32  0.32                                                                                                                                                                                                                                                
