!CC. UTE.
   1 1068
   2 1002
   2 1004
   2 1069
   3 1001
   3 1003
   4 2009
   4 2012
   5 2009
   5 2012
   6 1036
   6 2049
   7 1038
   7 2047
  10 2044
  10 2020
  10 2024
  11 2022
  11 2025
  12 1030
  12 1033
  13 1031
  13 1034
  14 1005
  14 1007
  14 1009
  15 1006
  15 1008
  15 1010
  16 1052
  16 1053
  16 1054
  16 1055
  17 1046
  17 1047
  17 1048
  17 1093
  18 1049
  18 1050
  19 2046
  19 2045
  20 1077
  21 1079
  22 1074
  23 1076
  24 1080
  25 2017
  26 2015
  27 1090
  28 1091
  29 2018
