**** Fuel:      1 GASNACIO    
A~NO ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
2020  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
2021  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
2022  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.  99999.
**** Fuel:      6 MGYLCENT    
A~NO ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2018  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75
2019  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75
2020  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75
2021  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75
2022  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75  968.75
