GRAF001    Balance Del SIN
GRAF002    Generacion hidro
GRAF003    Generacion Termica
GRAF004    Costo Marginal por Bloques
GRAF005    Costo Marginal
GRAF006    Índices de Confiabilidad
GRAF007    Generacion Hidro por Planta
GRAF008    Generacion Termica por Planta
GRAF009    Generacion renovable por planta
GRAF010    Generacion Termica por Recurso
GRAF011    Consumo de combustibles
GRAF012    Generacion con Combustibles Liquidos
GRAF013    Generación Recursos Menycog
GRAF014    Aporte Total SIN(GWh)
GRAF015    EMBALSE SIN
GRAF016    Balance Caribe
GRAF017    Balance Nordeste
GRAF018    Balance Suroccidental
GRAF019    Balance Antioquia
GRAF020    Balance Oriental
GRAF021    VALOR MARGINAL AGUA
GRAF022    Evo Embalses
GRAF023    Importacion Ecuador
