**** Planta:  304 S ACUEDU-BOG Penal:        1200.
A~NO ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2017    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8
2018    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8
2019    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8
2020    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8
2021    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8
2022    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8
2023    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8    16.8
**** Planta:  399 EL QUIMBO    Penal:        9999.
A~NO ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2017     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.     36.
