Tipo Info. :    2  (1=Reduc;2=Absoluto)
Unidades   :    3  (1=No.Unid;2=%;3=MW;4=m^3/s)
**** Planta:  101 URRA        
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     338     333     338     338     338     338     333     338     338     338     338     333     316     316     316     316     316
**** Planta:  102 GUATAPE     
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     560     551     560     343     560     560     560     560     552     372     532     560     560     560     560     560     552     552     507     507
**** Planta:  103 JAGUAS      
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     141     170     170     170     170     170     170     170     141     170     170     170     170
2020     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     170     141      89      85      85      85      85      85      85     161     162     162     162     162     162     162     162     162     162     162     162     162     162     162     162     162     162     162     162     162     162
**** Planta:  104 PLAYAS      
