NUM: 101 URRA                  Penal: 0        -1.
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12 ...13 ...14 ...15 ...16 ...17 ...18 ...19 ...20 ...21 ...22 ...23 ...24 ...25 ...26 ...27 ...28 ...29 ...30 ...31 ...32 ...33 ...34 ...35 ...36 ...37 ...38 ...39 ...40 ...41 ...42 ...43 ...44 ...45 ...46 ...47 ...48 ...49 ...50 ...51 ...52
2019    0.    0.    0.    0.    0.    0.    0.    0.    0. 14.61 14.61 14.61 14.61 23.31 23.31 23.31 23.31 21.05 21.05 21.05 21.05 21.05 15.89 15.89 15.89 15.89  7.24  7.24  7.24  7.24  2.97  2.97  2.97  2.97  2.97    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
2020    0.    0.    0.    0.    0.    0.    0.    0.    0. 14.61 14.61 14.61 14.61 23.31 23.31 23.31 23.31 21.05 21.05 21.05 21.05 21.05 15.89 15.89 15.89 15.89  7.24  7.24  7.24  7.24  2.97  2.97  2.97  2.97  2.97    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
2021    0.    0.    0.    0.    0.    0.    0.    0.    0. 14.61 14.61 14.61 14.61 23.31 23.31 23.31 23.31 21.05 21.05 21.05 21.05 21.05 15.89 15.89 15.89 15.89  7.24  7.24  7.24  7.24  2.97  2.97  2.97  2.97  2.97    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
2022    0.    0.    0.    0.    0.    0.    0.    0.    0. 14.61 14.61 14.61 14.61 23.31 23.31 23.31 23.31 21.05 21.05 21.05 21.05 21.05 15.89 15.89 15.89 15.89  7.24  7.24  7.24  7.24  2.97  2.97  2.97  2.97  2.97    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
NUM: 102 GUATAPE               Penal: 0         0.
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12 ...13 ...14 ...15 ...16 ...17 ...18 ...19 ...20 ...21 ...22 ...23 ...24 ...25 ...26 ...27 ...28 ...29 ...30 ...31 ...32 ...33 ...34 ...35 ...36 ...37 ...38 ...39 ...40 ...41 ...42 ...43 ...44 ...45 ...46 ...47 ...48 ...49 ...50 ...51 ...52
2018                                                                                                                                                                                                                                                                                                                        
2019  7.35  7.35  7.35  7.35  7.35  7.86  7.86  7.86  7.86  8.77  8.77  8.77  8.77  7.75  7.75  7.75  7.75  9.26  9.26  9.26  9.26  9.26  8.32  8.32  8.32  8.32  8.69  8.69  8.69  8.69  8.51  8.51  8.51  8.51  8.51  8.38  8.38  8.38  8.38  7.26  7.26  7.26  7.26  7.26  7.03  7.03  7.03  7.03   5.2   5.2   5.2   5.2
2020  7.35  7.35  7.35  7.35  7.35  7.86  7.86  7.86  7.86  8.77  8.77  8.77  8.77  7.75  7.75  7.75  7.75  9.26  9.26  9.26  9.26  9.26  8.32  8.32  8.32  8.32  8.69  8.69  8.69  8.69  8.51  8.51  8.51  8.51  8.51  8.38  8.38  8.38  8.38  7.26  7.26  7.26  7.26  7.26  7.03  7.03  7.03  7.03   5.2   5.2   5.2   5.2
