**** Planta:  102 GUATAPE      Penal:          -1.
A~NO ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019                                                                                                                                                                                                  159.96  179.45  182.23  182.23  182.23  182.23  181.22  185.91  192.38  198.86  205.48  212.93  220.39  227.85   235.3  244.74   254.5  264.27  274.03  283.81   293.6  303.39  313.19  320.25  310.96  301.67  292.38  283.08
2020  271.59  259.21  246.84  234.46     222  209.33  196.65  183.98  171.23  158.04  144.84  131.64  118.44  108.53   99.93   91.34   82.74    81.3   89.39   97.48  105.58  113.67  121.64   134.9  159.96  179.45  182.23  182.23  182.23  182.23  181.22  185.91  192.38  198.86  205.48  212.93  220.39  227.85   235.3  244.74   254.5  264.27  274.03  283.81   293.6  303.39  313.19  320.25  310.96  301.67  292.38  283.08
2021  271.59  259.21  246.84  234.46     222  209.33  196.65  183.98  171.23  158.04  144.84  131.64  118.44  108.53   99.93   91.34   82.74    81.3   89.39   97.48  105.58  113.67  121.64   134.9  159.96  179.45  182.23  182.23  182.23  182.23  181.22  185.91  192.38  198.86  205.48  212.93  220.39  227.85   235.3  244.74   254.5  264.27  274.03  283.81   293.6  303.39  313.19  320.25  310.96  301.67  292.38  283.08
2022  271.59  259.21  246.84  234.46     222  209.33  196.65  183.98  171.23  158.04  144.84  131.64  118.44  108.53   99.93   91.34   82.74    81.3   89.39   97.48  105.58  113.67  121.64   134.9                                                                                                                                                                                                                                
**** Planta:  103 JAGUAS       Penal:          -1.
A~NO ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019                                                                                                                                                                                                   61.23   73.69   74.22   72.75   71.29   69.83   68.68   67.95   67.22   66.49   66.48   69.81   73.15   76.49   79.82   83.46   87.16   90.85   94.54   98.02   101.2  104.39  107.58   110.1  108.66  107.22  105.78  104.34
2020  100.18   94.94   89.69   84.45   78.54   70.98   63.41   55.85   48.52   42.54   38.87   35.94   33.02   29.83   26.43   23.03   19.63   18.59   21.83   25.07   28.31   31.55   34.29    45.2   61.23   73.69   74.22   72.75   71.29   69.83   68.68   67.95   67.22   66.49   66.48   69.81   73.15   76.49   79.82   83.46   87.16   90.85   94.54   98.02   101.2  104.39  107.58   110.1  108.66  107.22  105.78  104.34
2021  100.18   94.94   89.69   84.45   78.54   70.98   63.41   55.85   48.52   42.54   38.87   35.94   33.02   29.83   26.43   23.03   19.63   18.59   21.83   25.07   28.31   31.55   34.29    45.2   61.23   73.69   74.22   72.75   71.29   69.83   68.68   67.95   67.22   66.49   66.48   69.81   73.15   76.49   79.82   83.46   87.16   90.85   94.54   98.02   101.2  104.39  107.58   110.1  108.66  107.22  105.78  104.34
2022  100.18   94.94   89.69   84.45   78.54   70.98   63.41   55.85   48.52   42.54   38.87   35.94   33.02   29.83   26.43   23.03   19.63   18.59   21.83   25.07   28.31   31.55   34.29    45.2                                                                                                                                                                                                                                
**** Planta:  104 PLAYAS       Penal:          -1.
A~NO ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019                                                                                                                                                                                                   45.79   50.26   47.76    44.1   40.43   36.77   33.25   32.47   33.22   33.98   34.74   35.61   36.47   37.33    38.2   39.29   40.43   41.56   42.69   44.35   47.21   50.08   52.38   55.82   55.82   55.82   55.82   55.82
2020   54.23   51.46   48.68   45.91   43.36   42.17   40.98    39.8   38.61   34.39   30.17   25.96   22.18   21.37   20.97    21.4   21.98   22.99    25.1   27.21   29.32   31.43   35.56   40.04   45.79   50.26   47.76    44.1   40.43   36.77   33.25   32.47   33.22   33.98   34.74   35.61   36.47   37.33    38.2   39.29   40.43   41.56   42.69   44.35   47.21   50.08   52.38   55.82   55.82   55.82   55.82   55.82
2021   54.23   51.46   48.68   45.91   43.36   42.17   40.98    39.8   38.61   34.39   30.17   25.96   22.18   21.37   20.97    21.4   21.98   22.99    25.1   27.21   29.32   31.43   35.56   40.04   45.79   50.26   47.76    44.1   40.43   36.77   33.25   32.47   33.22   33.98   34.74   35.61   36.47   37.33    38.2   39.29   40.43   41.56   42.69   44.35   47.21   50.08   52.38   55.82   55.82   55.82   55.82   55.82
2022   54.23   51.46   48.68   45.91   43.36   42.17   40.98    39.8   38.61   34.39   30.17   25.96   22.18   21.37   20.97    21.4   21.98   22.99    25.1   27.21   29.32   31.43   35.56   40.04                                                                                                                                                                                                                                
**** Planta:  105 SAN CARLOS   Penal:          -1.
A~NO ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12 .....13 .....14 .....15 .....16 .....17 .....18 .....19 .....20 .....21 .....22 .....23 .....24 .....25 .....26 .....27 .....28 .....29 .....30 .....31 .....32 .....33 .....34 .....35 .....36 .....37 .....38 .....39 .....40 .....41 .....42 .....43 .....44 .....45 .....46 .....47 .....48 .....49 .....50 .....51 .....52
2019                                                                                                                                                                                                   30.56   37.67   34.94   30.57    26.2   21.83    19.8   20.54   21.28   22.03   22.78   23.63   24.48   25.33   26.18   27.26   28.37   29.49    30.6   31.72   32.84   33.96   39.36   48.85   47.32   45.79   44.26   42.73
2020   40.45   37.61   34.77   31.93   29.26   27.62   25.99   24.35   22.72   19.44   16.16   12.88   10.42    9.63    9.23    8.83    8.43     8.6    9.52   10.44   11.37   12.29    14.3   21.41   30.56   37.67   34.94   30.57    26.2   21.83    19.8   20.54   21.28   22.03   22.78   23.63   24.48   25.33   26.18   27.26   28.37   29.49    30.6   31.72   32.84   33.96   39.36   48.85   47.32   45.79   44.26   42.73
2021   40.45   37.61   34.77   31.93   29.26   27.62   25.99   24.35   22.72   19.44   16.16   12.88   10.42    9.63    9.23    8.83    8.43     8.6    9.52   10.44   11.37   12.29    14.3   21.41   30.56   37.67   34.94   30.57    26.2   21.83    19.8   20.54   21.28   22.03   22.78   23.63   24.48   25.33   26.18   27.26   28.37   29.49    30.6   31.72   32.84   33.96   39.36   48.85   47.32   45.79   44.26   42.73
